Day Book — Saraswati Automobiles Pvt Ltd · the whole company · 01/04/2026 to 31/03/2027

Date,Voucher,No,Branch,Account,Narration,Party,Debit,Credit,Status
02/09/2026,PURCHASE,1,DEL-SARASWATI,1200 Vehicle Stock,NET/HMC/2026/0901 — goods received,,"₹ 10,60,800.00",,POSTED
02/09/2026,PURCHASE,1,DEL-SARASWATI,1200 Vehicle Stock,Freight,,"₹ 4,500.00",,POSTED
02/09/2026,PURCHASE,1,DEL-SARASWATI,1620 Input IGST,Input IGST,,"₹ 1,90,944.00",,POSTED
02/09/2026,PURCHASE,1,DEL-SARASWATI,2100 Sundry Creditors,Payable to supplier on NET/HMC/2026/0901,,,"₹ 12,56,244.00",POSTED
06/09/2026,SALES,94,DEL-SAR-JANAK,1100 Sundry Debtors,Sale SC-2627-00004,Manish Grover,"₹ 96,960.00",,POSTED
06/09/2026,SALES,94,DEL-SAR-JANAK,4100 Vehicle Sales,Splendor Plus,,,"₹ 69,762.71",POSTED
06/09/2026,SALES,94,DEL-SAR-JANAK,2200 Output CGST,,,,"₹ 6,278.65",POSTED
06/09/2026,SALES,94,DEL-SAR-JANAK,2210 Output SGST,,,,"₹ 6,278.64",POSTED
06/09/2026,SALES,94,DEL-SAR-JANAK,2300 Road Tax Payable,Registration and road tax,Manish Grover,,"₹ 8,400.00",POSTED
06/09/2026,SALES,94,DEL-SAR-JANAK,2320 Insurance Premium Payable,Insurance (1+5),Manish Grover,,"₹ 6,240.00",POSTED
06/09/2026,SALES,94,DEL-SAR-JANAK,5100 Cost of Goods Sold — Vehicles,Cost of Splendor Plus NET-CH-0001,,"₹ 62,500.00",,POSTED
06/09/2026,SALES,94,DEL-SAR-JANAK,1200 Vehicle Stock,NET-CH-0001,,,"₹ 62,500.00",POSTED
06/09/2026,RECEIPT,1,DEL-SAR-JANAK,1400 Cash,CASH from Manish Grover,,"₹ 5,000.00",,POSTED
06/09/2026,RECEIPT,1,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Manish Grover,,"₹ 5,000.00",POSTED
06/09/2026,RECEIPT,2,DEL-SAR-JANAK,1500 Bank Accounts,FINANCIER from Manish Grover,,"₹ 73,568.00",,POSTED
06/09/2026,RECEIPT,2,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Manish Grover,,"₹ 73,568.00",POSTED
06/09/2026,RECEIPT,3,DEL-SAR-JANAK,1400 Cash,CASH from Manish Grover,,"₹ 18,392.00",,POSTED
06/09/2026,RECEIPT,3,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Manish Grover,,"₹ 18,392.00",POSTED
08/09/2026,SALES,23,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 305.00,,POSTED
08/09/2026,SALES,23,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 305.00,POSTED
08/09/2026,SALES,54,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 305.00,,POSTED
08/09/2026,SALES,54,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 305.00,POSTED
08/09/2026,SALES,85,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 305.00,,POSTED
08/09/2026,SALES,85,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 305.00,POSTED
08/09/2026,SALES,116,DEL-SAR-OKHLA,5110 Cost of Goods Sold — Spare Parts,Cost of parts issued,,₹ 305.00,,POSTED
08/09/2026,SALES,116,DEL-SAR-OKHLA,1210 Spare Parts Stock,Parts issued,,,₹ 305.00,POSTED
09/09/2026,SALES,112,DEL-SARASWATI,1100 Sundry Debtors,Sale SC-2627-00022,Rakesh Nautiyal,"₹ 96,960.00",,POSTED
09/09/2026,SALES,112,DEL-SARASWATI,4100 Vehicle Sales,Splendor Plus,,,"₹ 69,762.71",POSTED
09/09/2026,SALES,112,DEL-SARASWATI,2200 Output CGST,,,,"₹ 6,278.65",POSTED
09/09/2026,SALES,112,DEL-SARASWATI,2210 Output SGST,,,,"₹ 6,278.64",POSTED
09/09/2026,SALES,112,DEL-SARASWATI,2300 Road Tax Payable,Registration and road tax,Rakesh Nautiyal,,"₹ 8,400.00",POSTED
09/09/2026,SALES,112,DEL-SARASWATI,2320 Insurance Premium Payable,Insurance (1+5),Rakesh Nautiyal,,"₹ 6,240.00",POSTED
09/09/2026,SALES,112,DEL-SARASWATI,5100 Cost of Goods Sold — Vehicles,Cost of Splendor Plus NET-CH-0021,,"₹ 62,500.00",,POSTED
09/09/2026,SALES,112,DEL-SARASWATI,1200 Vehicle Stock,NET-CH-0021,,,"₹ 62,500.00",POSTED
09/09/2026,RECEIPT,45,DEL-SARASWATI,1400 Cash,CASH from Rakesh Nautiyal,,"₹ 5,000.00",,POSTED
09/09/2026,RECEIPT,45,DEL-SARASWATI,1100 Sundry Debtors,Against bill(s),Rakesh Nautiyal,,"₹ 5,000.00",POSTED
09/09/2026,RECEIPT,46,DEL-SARASWATI,1500 Bank Accounts,FINANCIER from Rakesh Nautiyal,,"₹ 73,568.00",,POSTED
09/09/2026,RECEIPT,46,DEL-SARASWATI,1100 Sundry Debtors,Against bill(s),Rakesh Nautiyal,,"₹ 73,568.00",POSTED
09/09/2026,RECEIPT,47,DEL-SARASWATI,1400 Cash,CASH from Rakesh Nautiyal,,"₹ 18,392.00",,POSTED
09/09/2026,RECEIPT,47,DEL-SARASWATI,1100 Sundry Debtors,Against bill(s),Rakesh Nautiyal,,"₹ 18,392.00",POSTED
11/09/2026,SALES,95,DEL-SAR-JANAK,1100 Sundry Debtors,Sale SC-2627-00005,Sunita Bhardwaj,"₹ 79,430.00",,POSTED
11/09/2026,SALES,95,DEL-SAR-JANAK,4100 Vehicle Sales,HF Deluxe,,,"₹ 54,906.78",POSTED
11/09/2026,SALES,95,DEL-SAR-JANAK,2200 Output CGST,,,,"₹ 4,941.61",POSTED
11/09/2026,SALES,95,DEL-SAR-JANAK,2210 Output SGST,,,,"₹ 4,941.61",POSTED
11/09/2026,SALES,95,DEL-SAR-JANAK,2300 Road Tax Payable,Registration and road tax,Sunita Bhardwaj,,"₹ 8,400.00",POSTED
11/09/2026,SALES,95,DEL-SAR-JANAK,2320 Insurance Premium Payable,Insurance (1+5),Sunita Bhardwaj,,"₹ 6,240.00",POSTED
11/09/2026,SALES,95,DEL-SAR-JANAK,5100 Cost of Goods Sold — Vehicles,Cost of HF Deluxe NET-CH-0009,,"₹ 49,200.00",,POSTED
11/09/2026,SALES,95,DEL-SAR-JANAK,1200 Vehicle Stock,NET-CH-0009,,,"₹ 49,200.00",POSTED
11/09/2026,RECEIPT,4,DEL-SAR-JANAK,1400 Cash,CASH from Sunita Bhardwaj,,"₹ 5,000.00",,POSTED
11/09/2026,RECEIPT,4,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Sunita Bhardwaj,,"₹ 5,000.00",POSTED
11/09/2026,RECEIPT,5,DEL-SAR-JANAK,1500 Bank Accounts,FINANCIER from Sunita Bhardwaj,,"₹ 59,544.00",,POSTED
11/09/2026,RECEIPT,5,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Sunita Bhardwaj,,"₹ 59,544.00",POSTED
11/09/2026,RECEIPT,6,DEL-SAR-JANAK,1400 Cash,CASH from Sunita Bhardwaj,,"₹ 14,886.00",,POSTED
11/09/2026,RECEIPT,6,DEL-SAR-JANAK,1100 Sundry Debtors,Against bill(s),Sunita Bhardwaj,,"₹ 14,886.00",POSTED
14/09/2026,SALES,102,DEL-SAR-DWK,1100 Sundry Debtors,Sale SC-2627-00012,Sanjay Pillai,"₹ 96,960.00",,POSTED
14/09/2026,SALES,102,DEL-SAR-DWK,4100 Vehicle Sales,Splendor Plus,,,"₹ 69,762.71",POSTED
14/09/2026,SALES,102,DEL-SAR-DWK,2200 Output CGST,,,,"₹ 6,278.65",POSTED
14/09/2026,SALES,102,DEL-SAR-DWK,2210 Output SGST,,,,"₹ 6,278.64",POSTED
14/09/2026,SALES,102,DEL-SAR-DWK,2300 Road Tax Payable,Registration and road tax,Sanjay Pillai,,"₹ 8,400.00",POSTED
