"Sales Register — Saraswati Automobiles Pvt Ltd · the whole company · 01/04/2026 to 31/03/2027 — invoice-wise with the tax split, which GSTR-1 is checked against"

Date,Voucher,Party,GSTIN,Taxable,CGST,SGST,IGST,Cess,Total
06/09/2026,32,Manish Grover,,"₹ 69,762.71","₹ 6,278.65","₹ 6,278.64",₹ 0.00,₹ 0.00,"₹ 96,960.00"
08/09/2026,23,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
08/09/2026,54,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
09/09/2026,50,Rakesh Nautiyal,,"₹ 69,762.71","₹ 6,278.65","₹ 6,278.64",₹ 0.00,₹ 0.00,"₹ 96,960.00"
11/09/2026,33,Sunita Bhardwaj,,"₹ 54,906.78","₹ 4,941.61","₹ 4,941.61",₹ 0.00,₹ 0.00,"₹ 79,430.00"
14/09/2026,40,Sanjay Pillai,,"₹ 69,762.71","₹ 6,278.65","₹ 6,278.64",₹ 0.00,₹ 0.00,"₹ 96,960.00"
16/09/2026,24,,,"₹ 2,020.00",₹ 181.80,₹ 181.80,₹ 0.00,₹ 0.00,"₹ 2,383.60"
16/09/2026,55,,,"₹ 2,020.00",₹ 181.80,₹ 181.80,₹ 0.00,₹ 0.00,"₹ 2,383.60"
19/09/2026,34,Kapil Dogra,,"₹ 74,296.61","₹ 6,686.70","₹ 6,686.69",₹ 0.00,₹ 0.00,"₹ 1,02,310.00"
27/09/2026,41,Anjali Bisht,,"₹ 74,296.61","₹ 6,686.70","₹ 6,686.69",₹ 0.00,₹ 0.00,"₹ 1,02,310.00"
29/09/2026,25,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
29/09/2026,56,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
07/10/2026,26,,,"₹ 2,020.00",₹ 181.80,₹ 181.80,₹ 0.00,₹ 0.00,"₹ 2,383.60"
07/10/2026,57,,,"₹ 2,020.00",₹ 181.80,₹ 181.80,₹ 0.00,₹ 0.00,"₹ 2,383.60"
08/10/2026,35,Nisha Tandon,,"₹ 69,762.71","₹ 6,278.65","₹ 6,278.64",₹ 0.00,₹ 0.00,"₹ 96,960.00"
12/10/2026,42,Mohit Sehgal,,"₹ 54,906.78","₹ 4,941.61","₹ 4,941.61",₹ 0.00,₹ 0.00,"₹ 79,430.00"
14/10/2026,51,Zubair Ahmed,,"₹ 69,762.71","₹ 6,278.65","₹ 6,278.64",₹ 0.00,₹ 0.00,"₹ 96,960.00"
15/10/2026,27,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
15/10/2026,58,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
17/10/2026,36,Ashok Raina,,"₹ 92,364.41","₹ 8,312.80","₹ 8,312.79",₹ 0.00,₹ 0.00,"₹ 1,23,630.00"
18/10/2026,46,Vikrant Chowdhury,,"₹ 1,47,828.57","₹ 29,565.72","₹ 29,565.71",₹ 0.00,₹ 0.00,"₹ 2,21,600.00"
23/10/2026,28,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
23/10/2026,59,,,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00,₹ 0.00
24/10/2026,43,Fatima Sheikh,,"₹ 92,364.41","₹ 8,312.80","₹ 8,312.79",₹ 0.00,₹ 0.00,"₹ 1,23,630.00"
