"Debtors Ageing — Saraswati Automobiles Pvt Ltd · the whole company · as at 31/03/2027 — bucketed on days **past due**, not days since the bill"

Party,Total,Not yet due,1-30 days,31-60 days,61-90 days,Over 90 days,Oldest Bill,Days
Ledger Test Customer,"₹ 10,17,500.00",,,,,"₹ 10,17,500.00",SC-2627-00003,230
Ledger Test Customer Two,"₹ 8,40,000.00",,,,,"₹ 8,40,000.00",SC-2627-00004,230
Kritika Malhotra,"₹ 1,52,440.00",,,,,"₹ 1,52,440.00",SC-2627-00017,125
Ravinder Chadha,"₹ 79,430.00",,,,,"₹ 79,430.00",SC-2627-00011,130
Shalini Kapoor,"₹ 43,320.00",,,,,"₹ 43,320.00",SC-2627-00019,151
Preeti Sabharwal,"₹ 29,488.00",,,,,"₹ 29,488.00",SC-2627-00009,153
Kapil Dogra,"₹ 19,462.00",,,,,"₹ 19,462.00",SC-2627-00006,193
Zubair Ahmed,"₹ 18,392.00",,,,,"₹ 18,392.00",SC-2627-00023,168
Mohit Sehgal,"₹ 14,886.00",,,,,"₹ 14,886.00",SC-2627-00014,170
Ramesh Duggal,"₹ 2,383.60",,,,,"₹ 2,383.60",SRV/2026-27/0002,196
Jasbir Walia,"₹ 2,383.60",,,,,"₹ 2,383.60",SRV/2026-27/0004,175
Om Prakash,"₹ 2,383.60",,,,,"₹ 2,383.60",SRV/2026-27/0007,147
Anjali Bisht,"₹ 2,383.60",,,,,"₹ 2,383.60",SRV/2026-27/0008,139
