Enquiry Register — all open and closed leads

Enquiry No,Enquiry Date,Source,Grade,Stage,Customer Name,Mobile No,Model Interested,Sales Exec,First Contact,Last Contact,Next Follow Up,Lost Reason,Converted Deal
ENQ-0417-9101,05/08/2026,OEM_PORTAL,HOT,NEW,Mr Nitin Rawal,9811340077,HER-XPL-200,SA-0417-23,,,,,
ENQ-0417-9102,05/08/2026,OEM_PORTAL,HOT,NEW,Ms Ritu Malhotra,9910228844,HER-DST-125,SA-0417-19,,,,,
ENQ-0417-9103,30/07/2026,WALKIN,WARM,CONTACTED,Mr Suresh Pillai,9873221100,HER-SPL-PLUS,SA-0417-21,30/07/2026,31/07/2026,02/08/2026,,
ENQ-0417-9104,25/07/2026,WEB,HOT,QUOTED,Mrs Shalini Kapoor,9818445566,HER-XTR-125R,SA-0417-21,25/07/2026,28/07/2026,30/07/2026,,
ENQ-0417-9105,04/08/2026,OEM_PORTAL,HOT,TEST_RIDE,Mr Farhan Ali,9990117733,HER-XPL-200,SA-0417-19,04/08/2026,05/08/2026,06/08/2026,,
ENQ-0417-9106,01/08/2026,REFERRAL,WARM,NEGOTIATION,Mr Jaspal Sethi,9871009988,HER-DST-125,SA-0417-23,01/08/2026,04/08/2026,05/08/2026,,
ENQ-0417-9107,15/07/2026,PHONE,COLD,CONTACTED,Mrs Geeta Iyer,9868112200,HER-HFD-100,SA-0417-23,15/07/2026,24/07/2026,27/07/2026,,
ENQ-0417-9108,27/07/2026,WALKIN,HOT,BOOKED,Mr Rohit Kumar Bansal,9873310482,HER-SPL-PLUS,SA-0417-19,27/07/2026,29/07/2026,,,HMC-DL-2026-000181
ENQ-0417-9109,20/07/2026,CAMPAIGN,COLD,LOST,Mr Vinod Chauhan,9811667788,HER-HFD-100,SA-0417-23,20/07/2026,23/07/2026,,Bought a competitor model — price,
ENQ-0417-9200,21/07/2026,WALKIN,WARM,NEGOTIATION,Mr Salim Ghosh,8106670433,HER-XTR-125R,SA-0417-24,21/07/2026,03/08/2026,27/07/2026,,
ENQ-0417-9201,09/07/2026,WALKIN,HOT,QUOTED,Mr Amit Tripathi,8847916031,HER-SPL-PLUS,SA-0417-19,09/07/2026,23/07/2026,27/07/2026,,
ENQ-0417-9202,11/07/2026,WALKIN,WARM,LOST,Mrs Meena Sahu,9303089177,HER-HFD-100,SA-0417-29,11/07/2026,01/08/2026,,Price too high,
ENQ-0417-9203,23/07/2026,WALKIN,COLD,LOST,Mrs Farhana Verma,8838060423,HER-HFD-100,SA-0417-24,23/07/2026,03/08/2026,,Price too high,
ENQ-0417-9204,28/07/2026,PHONE,COLD,BOOKED,Mr Prakash Siddiqui,9143942721,HER-DST-125,SA-0417-21,28/07/2026,02/08/2026,,,
ENQ-0417-9205,08/07/2026,OEM_PORTAL,COLD,CONTACTED,Mr Nitin Reddy,9108452219,HER-HFD-100,SA-0417-19,08/07/2026,08/07/2026,13/08/2026,,
ENQ-0417-9206,13/07/2026,WALKIN,COLD,QUOTED,Mr Ravi Dubey,7839419561,HER-XPL-200,SA-0417-26,13/07/2026,21/07/2026,31/07/2026,,
ENQ-0417-9207,27/07/2026,WALKIN,HOT,CONTACTED,Mr Naveen Das,9615871809,HER-HFD-100,SA-0417-19,27/07/2026,02/08/2026,09/08/2026,,
