"Job Card Register — workshop, open and closed"

JC No,JC Status,JC Type,JC Date,Promised Date,Closed Date,Customer Name,Mobile No,Model,Reg No,Chassis No,Advisor,Estimate,Final Amount,Part Awaited,PSF Done
JC-0417-24118,AWAITING_PARTS,PAID,02/08/2026,03/08/2026,,Mrs Kavita Sharma,9811207744,Splendor Plus,DL3SCK4471,MBLHAR0748NK39114,AD-0417-04,"₹ 1,180.00",,Y,N
JC-0417-24119,AWAITING_APPROVAL,RUNNING_REPAIR,03/08/2026,04/08/2026,,Mr Arjun Menon,9910442210,Xtreme 125R,DL8SBX1192,MBLHAR0748NK38220,AD-0417-04,"₹ 1,450.00",,N,N
JC-0417-24120,READY,PAID,31/07/2026,01/08/2026,,Mr Satish Verma,9873001188,HF Deluxe,DL4SDA8830,MBLHAR0748NK37655,AD-0417-04,"₹ 2,410.00","₹ 2,390.00",N,N
JC-0417-24121,IN_PROGRESS,FREE,05/08/2026,05/08/2026,,Ms Priya Nair,9990114477,Destini 125,DL1SEE2204,MBLHAR0748NK40012,AD-0417-04,₹ 640.00,,N,N
JC-0417-24122,OPEN,FREE,05/08/2026,06/08/2026,,Mr Harpreet Singh,9818224466,Xpulse 200 4V,DL9SFF7761,MBLHAR0748NK41103,AD-0417-04,₹ 520.00,,N,N
JC-0417-24123,DELIVERED,PAID,25/07/2026,26/07/2026,26/07/2026,Mr Gopal Krishnan,9871119933,Splendor Plus,DL2SCC5519,MBLHAR0748NK36004,AD-0417-04,"₹ 1,290.00","₹ 1,265.00",N,Y
JC-0417-24124,DELIVERED,PAID,21/07/2026,22/07/2026,22/07/2026,Mrs Anita Bhatt,9868774411,Destini 125,DL7SBB3040,MBLHAR0748NK35281,AD-0417-07,₹ 980.00,₹ 940.00,N,N
JC-0417-24125,AWAITING_PARTS,ACCIDENT,27/07/2026,30/07/2026,,Mr Deepak Ahuja,9811556622,Xtreme 125R,DL5SAA1177,MBLHAR0748NK33902,AD-0417-07,"₹ 4,120.00",,Y,N
JC-0417-24200,READY,RUNNING_REPAIR,01/08/2026,04/08/2026,,Mr Yogesh Arora,9637295308,HF Deluxe,DL6SER9970,MBLHAR0748NK63000,AD-0417-09,"₹ 6,300.00",,N,N
JC-0417-24201,DELIVERED,PAID,20/07/2026,23/07/2026,22/07/2026,Mr Harpreet Reddy,9109516495,Splendor Plus,DL10SBX9881,MBLVID0912NK63001,AD-0417-09,"₹ 6,089.00","₹ 6,089.00",N,Y
JC-0417-24202,AWAITING_PARTS,PAID,31/07/2026,03/08/2026,,Mr Gurmeet Qureshi,8254611881,Xpulse 200 4V,DL12SCK5936,MBLKAR0921NK63002,AD-0417-09,"₹ 1,089.00",,N,N
JC-0417-24203,DELIVERED,PAID,04/08/2026,05/08/2026,04/08/2026,Mr Harpreet Verma,8110997142,HF Deluxe,DL12SCK6258,MBLKAR0921NK63003,AD-0417-04,"₹ 1,021.00","₹ 1,021.00",N,Y
JC-0417-24204,DELIVERED,FREE,24/07/2026,27/07/2026,24/07/2026,Mr Gaurav Menon,7973222674,Xtreme 125R,DL6SAB7978,MBLHAR0748NK63004,AD-0417-09,₹ 599.00,₹ 599.00,N,Y
JC-0417-24205,DELIVERED,FREE,01/07/2026,04/07/2026,02/07/2026,Mr Karan Jain,9130355358,HF Deluxe,DL6SAB5018,MBLKAR0921NK63005,AD-0417-12,₹ 499.00,₹ 499.00,N,Y
JC-0417-24206,DELIVERED,FREE,30/07/2026,02/08/2026,01/08/2026,Mr Ramkumar Ghosh,7656919454,HF Deluxe,DL10SBX6563,MBLPAS0633NK63006,AD-0417-04,₹ 316.00,₹ 316.00,N,Y
JC-0417-24207,DELIVERED,PAID,12/07/2026,14/07/2026,12/07/2026,Mrs Kavita Chadha,8655965212,HF Deluxe,DL6SBX9471,MBLPAS0633NK63007,AD-0417-09,"₹ 4,001.00","₹ 4,001.00",N,Y
JC-0417-24208,INVOICED,RUNNING_REPAIR,14/07/2026,14/07/2026,14/07/2026,Mr Prakash Ghosh,8832009077,Destini 125,DL10SBX5757,MBLPAS0633NK63008,AD-0417-09,"₹ 6,146.00","₹ 6,146.00",N,N
JC-0417-24209,INVOICED,PAID,01/07/2026,02/07/2026,01/07/2026,Mr Harpreet Malhotra,7015641065,Destini 125,DL11SCK1464,MBLPAS0633NK63009,AD-0417-09,₹ 912.00,₹ 912.00,N,N
JC-0417-24210,INVOICED,PAID,01/08/2026,03/08/2026,03/08/2026,Mrs Sunita Ansari,9365344854,Splendor Plus,DL9SCK5721,MBLKAR0921NK63010,AD-0417-04,"₹ 5,620.00","₹ 5,620.00",N,N
JC-0417-24211,DELIVERED,PAID,29/06/2026,02/07/2026,29/06/2026,Mrs Meena Verma,9401556525,Splendor Plus,DL9SFG7848,MBLVID0912NK63011,AD-0417-09,₹ 714.00,₹ 714.00,N,Y
JC-0417-24212,DELIVERED,PAID,05/08/2026,07/08/2026,05/08/2026,Mr Umesh Alam,7333147928,Xpulse 200 4V,DL11SAB1737,MBLKAR0921NK63012,AD-0417-09,"₹ 3,506.00","₹ 3,506.00",N,Y
JC-0417-24213,READY,RUNNING_REPAIR,31/07/2026,03/08/2026,,Mr Dinesh Agarwal,7875828862,Splendor Plus,DL2SBX4286,MBLKAR0921NK63013,AD-0417-12,"₹ 1,932.00",,N,N
JC-0417-24214,IN_PROGRESS,PAID,03/08/2026,05/08/2026,,Ms Usha Singhal,8872459039,Vida V2 Plus,DL8SFG5016,MBLHAR0748NK63014,AD-0417-04,"₹ 4,486.00",,N,N
JC-0417-24215,DELIVERED,PAID,22/06/2026,25/06/2026,24/06/2026,Mr Tarun Garg,8381851173,Destini 125,DL10SCK6703,MBLPAS0633NK63015,AD-0417-12,"₹ 4,478.00","₹ 4,478.00",N,Y
JC-0417-24216,READY,PAID,29/07/2026,01/08/2026,,Mr Dinesh Qureshi,9012589281,Destini 125,DL4SBX4099,MBLHAR0748NK63016,AD-0417-04,"₹ 4,868.00",,N,N
JC-0417-24217,DELIVERED,ACCIDENT,09/07/2026,12/07/2026,11/07/2026,Mr Ashok Iyer,7126038551,HF Deluxe,DL8SBX3569,MBLVID0912NK63017,AD-0417-04,"₹ 4,045.00","₹ 4,045.00",N,N
JC-0417-24218,DELIVERED,RUNNING_REPAIR,13/07/2026,16/07/2026,13/07/2026,Mr Imran Pandey,8717873602,Splendor Plus,DL10SFG5380,MBLPAS0633NK63018,AD-0417-09,"₹ 1,107.00","₹ 1,107.00",N,Y
JC-0417-24219,DELIVERED,PAID,05/07/2026,08/07/2026,06/07/2026,Mr Santosh Bhatia,9872190234,Splendor Plus,DL3SDL8638,MBLKAR0921NK63019,AD-0417-12,"₹ 5,083.00","₹ 5,083.00",N,N
JC-0417-24220,DELIVERED,PAID,26/06/2026,27/06/2026,27/06/2026,Mr Gaurav Singh,7699370026,Xtreme 125R,DL5SAB6794,MBLHAR0748NK63020,AD-0417-04,"₹ 2,171.00","₹ 2,171.00",N,Y
JC-0417-24221,AWAITING_APPROVAL,RUNNING_REPAIR,29/07/2026,01/08/2026,,Mr Anil Gupta,9320226865,Splendor Plus,DL2SDL9314,MBLKAR0921NK63021,AD-0417-09,"₹ 5,714.00",,N,N
JC-0417-24222,DELIVERED,PAID,02/08/2026,04/08/2026,02/08/2026,Mr Ashok Reddy,9504716123,HF Deluxe,DL10SCK3358,MBLVID0912NK63022,AD-0417-12,"₹ 5,887.00","₹ 5,887.00",N,Y
JC-0417-24223,INVOICED,RUNNING_REPAIR,05/07/2026,08/07/2026,06/07/2026,Mr Rajesh Verma,8026106750,Destini 125,DL3SAB7034,MBLVID0912NK63023,AD-0417-04,"₹ 1,593.00","₹ 1,593.00",N,N
JC-0417-24224,IN_PROGRESS,FREE,03/08/2026,05/08/2026,,Mr Santosh Iyer,7459114108,Splendor Plus,DL3SER1024,MBLPAS0633NK63024,AD-0417-09,₹ 322.00,,N,N
JC-0417-24225,INVOICED,FREE,22/06/2026,25/06/2026,24/06/2026,Mr Brijesh Khan,8763471925,Splendor Plus,DL13SCK7328,MBLPAS0633NK63025,AD-0417-04,₹ 408.00,₹ 408.00,N,N
JC-0417-24226,READY,PAID,31/07/2026,03/08/2026,,Mr Karan Garg,9044594285,HF Deluxe,DL8SCK9325,MBLHAR0748NK63026,AD-0417-04,"₹ 2,519.00",,N,N
JC-0417-24227,READY,RUNNING_REPAIR,30/07/2026,31/07/2026,,Mr Mohit Verma,9671804552,Destini 125,DL9SDL2431,MBLVID0912NK63027,AD-0417-04,"₹ 4,781.00",,N,N
JC-0417-24228,READY,FREE,01/08/2026,03/08/2026,,Mr Shyam Chadha,7282377727,Splendor Plus,DL8SCK3776,MBLPAS0633NK63028,AD-0417-04,₹ 499.00,,N,N
JC-0417-24229,INVOICED,PAID,28/07/2026,28/07/2026,30/07/2026,Mrs Kavita Bansal,9935627266,Splendor Plus,DL11SER5073,MBLHAR0748NK63029,AD-0417-09,₹ 736.00,₹ 736.00,N,N
JC-0417-24230,DELIVERED,FREE,15/07/2026,18/07/2026,16/07/2026,Mr Sandeep Yadav,9750261463,Destini 125,DL8SFG6558,MBLVID0912NK63030,AD-0417-12,₹ 390.00,₹ 390.00,N,Y
JC-0417-24231,DELIVERED,FREE,31/07/2026,02/08/2026,01/08/2026,Mr Manoj Shukla,8843506078,Destini 125,DL4SER6444,MBLPAS0633NK63031,AD-0417-04,₹ 526.00,₹ 526.00,N,Y
